Adres,Cena,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Czynsz,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Rok budowy,Rodzaj zabudowy,Winda,Dzielnica,Cena [zł/m²],Balkon,Ogródek,Taras,Miejsce parkingowe/Garaż,Domofon/Wideofon,Teren zamknięty,Monitoring/Ochrona,pralka,lodówka,meble,telewizor,piekarnik,zmywarka,kuchenka,Klimatyzacja
"ul. Cypryjska, Stegny, Mokotów, Warszawa, mazowieckie",949000.0,61.3,pełna własność,3,do zamieszkania,2,1300.0,miejskie,wtórny,biuro nieruchomości,1990,blok,0,Mokotów,15481.0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0
"ul. Marszałkowska, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",2199000.0,88.0,pełna własność,2,do zamieszkania,3,750.0,miejskie,wtórny,biuro nieruchomości,1939,kamienica,1,Śródmieście,24989.0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0
"ul. Górna Droga, Czechowice, Ursus, Warszawa, mazowieckie",584000.0,45.0,pełna własność,2,do zamieszkania,0,520.0,miejskie,wtórny,biuro nieruchomości,2001,blok,1,Ursus,12978.0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0
"Żerań, Białołęka, Warszawa, mazowieckie",529000.0,31.7,pełna własność,1,do zamieszkania,2,470.0,miejskie,wtórny,biuro nieruchomości,2014,blok,0,Białołęka,16688.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"ul. Podchorążych, Sielce, Mokotów, Warszawa, mazowieckie",899000.0,59.5,pełna własność,2,do remontu,2,1000.0,miejskie,wtórny,biuro nieruchomości,1935,kamienica,0,Mokotów,15109.0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0
"ul. Ostródzka, Grodzisk, Białołęka, Warszawa, mazowieckie",799000.0,53.49,pełna własność,2,do zamieszkania,1,800.0,kotłownia,wtórny,prywatny,2015,blok,1,Białołęka,14937.0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
"ul. Mordechaja Anielewicza, Muranów, Śródmieście, Warszawa, mazowieckie",509000.0,27.0,pełna własność,1,do remontu,8,400.0,miejskie,wtórny,biuro nieruchomości,1960,blok,1,Śródmieście,18852.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ul. Ludwika Idzikowskiego, Sielce, Mokotów, Warszawa, mazowieckie",740000.0,61.3,spółdzielcze wł. prawo do lokalu,3,do remontu,3,1500.0,miejskie,wtórny,biuro nieruchomości,1989,blok,0,Mokotów,12072.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ul. Elbląska, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",764000.0,42.5,spółdzielcze wł. prawo do lokalu,2,do zamieszkania,8,620.0,miejskie,wtórny,biuro nieruchomości,1971,blok,1,Żoliborz,17976.0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"Piaski, Bielany, Warszawa, mazowieckie",769000.0,48.0,spółdzielcze wł. prawo do lokalu,3,do zamieszkania,1,770.0,miejskie,wtórny,biuro nieruchomości,1970,blok,0,Bielany,16021.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ul. Zagłoby, Niedźwiadek, Ursus, Warszawa, mazowieckie",745000.0,62.2,spółdzielcze wł. prawo do lokalu,4,do remontu,1,1000.0,miejskie,wtórny,biuro nieruchomości,1974,blok,0,Ursus,11977.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ul. Bruzdowa 112z, Zawady, Wilanów, Warszawa, mazowieckie",1050000.0,55.8,pełna własność,3,do wykończenia,1,820.0,miejskie,wtórny,biuro nieruchomości,2004,plomba,0,Wilanów,18817.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"ul. Arabska, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",900000.0,48.8,pełna własność,2,do zamieszkania,3,800.0,miejskie,wtórny,biuro nieruchomości,2001,apartamentowiec,1,Praga-Południe,18443.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Bródno, Targówek, Warszawa, mazowieckie",349999.0,27.2,spółdzielcze wł. prawo do lokalu,1,do remontu,9,532.0,miejskie,wtórny,biuro nieruchomości,1976,blok,1,Targówek,12868.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ul. Terespolska, Grochów, Praga-Południe, Warszawa, mazowieckie",820000.0,45.46,pełna własność,2,do zamieszkania,2,657.0,miejskie,wtórny,biuro nieruchomości,2008,apartamentowiec,1,Praga-Południe,18038.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"ul. Stanisława Herbsta, Ursynów Północny, Ursynów, Warszawa, mazowieckie",980000.0,53.5,pełna własność,3,do zamieszkania,0,900.0,miejskie,wtórny,prywatny,1996,blok,0,Ursynów,18318.0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0
