Adres,Cena,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Balkon / ogród / taras,Czynsz,Miejsce parkingowe,Ogrzewanie,Certyfikat energetyczny,Rynek,Typ ogłoszeniodawcy,Dostępne od,Rok budowy,Rodzaj zabudowy,Okna,Winda,Media,Zabezpieczenia,Wyposażenie,Informacje dodatkowe,Materiał budynku,Link
"Drwęcka 11, Grochów, Praga-Południe, Warszawa, mazowieckie",1 090 000 zł,51 m²,pełna własność,2,do wykończenia,2/5,balkon,830 zł,garaż/miejsce parkingowe,miejskie,,wtórny,prywatny,,2024,apartamentowiec,plastikowe,tak,,"teren zamknięty, domofon / wideofon, monitoring / ochrona","lodówka, pralka","oddzielna kuchnia, pom. użytkowe",żelbet,https://www.otodom.pl/pl/oferta/bardzo-jasne-duze-2-pokoje-zlota-praga-ID4rmoC
"Muranów, Śródmieście, Warszawa, mazowieckie",2 100 000 zł,120 m²,pełna własność,4,do zamieszkania,9/14,,,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2023-11-30,1998,blok,drewniane,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",oddzielna kuchnia,inny,https://www.otodom.pl/pl/oferta/czteropokojowe-120-m2-przy-jana-pawla-ii-ID48jGo
"ul. Czerniakowska, Czerniaków, Mokotów, Warszawa, mazowieckie",860 000 zł,"55,9 m²",pełna własność,3,,7/10,,,,miejskie,,wtórny,biuro nieruchomości,,1974,,,tak,,domofon / wideofon,,klimatyzacja,,https://www.otodom.pl/pl/oferta/3-pokoje-i-mokotow-i-ciche-ID4rcXe
"ul. Osowska, Gocławek, Praga-Południe, Warszawa, mazowieckie",600 000 zł,48 m²,pełna własność,3,do remontu,,,,,miejskie,,wtórny,biuro nieruchomości,,1970,blok,,nie,,,,"piwnica, oddzielna kuchnia",wielka płyta,https://www.otodom.pl/pl/oferta/20-min-do-centrum-3-pokojowe-600000zl-ID4ro9c
"ul. Bohuna, Brzeziny, Białołęka, Warszawa, mazowieckie",Zapytaj o cenę,"40,43 m²",pełna własność,2,do wykończenia,2/2,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-40m2-balkon-bezposrednio-ID4rmdn
"ul. Warzelnicza, Brzeziny, Białołęka, Warszawa, mazowieckie",980 000 zł,"71,55 m²",pełna własność,3,,parter/2,"balkon, ogródek",,garaż/miejsce parkingowe,,,wtórny,biuro nieruchomości,,2020,blok,plastikowe,nie,,"teren zamknięty, domofon / wideofon, monitoring / ochrona",meble,piwnica,,https://www.otodom.pl/pl/oferta/bialoleka-warzelnicza-3-pok-nowe-lux-ogord-parking-ID4ro8L
"ul. Wacława Sierpińskiego, Rakowiec, Ochota, Warszawa, mazowieckie",960 000 zł,"55,5 m²",pełna własność,3,do remontu,4/10,balkon,801 zł,,elektryczne,,wtórny,prywatny,,1950,blok,drewniane,tak,"telewizja kablowa, internet, telefon","domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia",wielka płyta,https://www.otodom.pl/pl/oferta/ciche-jasne-i-cieple-mieszkanie-na-ochocie-ID4qLrn
"ul. Żółwia, Chomiczówka, Bielany, Warszawa, mazowieckie",1 000 000 zł,"65,4 m²",pełna własność,3,do zamieszkania,1/7,taras,780 zł,garaż/miejsce parkingowe,miejskie,,wtórny,prywatny,,2013,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",piwnica,pustak,https://www.otodom.pl/pl/oferta/bielany-3-pokoje-osiedle-zamkniete-balkon-12m2-ID4jmAY
"Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",687 000 zł,32 m²,spółdzielcze wł. prawo do lokalu,1,do zamieszkania,10/10,,450 zł,,miejskie,W trakcie realizacji / Zwolnione,wtórny,prywatny,,1965,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia",beton,https://www.otodom.pl/pl/oferta/kawalerka-z-super-widokiem-na-scisle-centrum-ID4qeVy
"ul. Wybrzeże Puckie, Pelcowizna, Praga-Północ, Warszawa, mazowieckie",1 060 626 zł,"67,09 m²",pełna własność,4,do wykończenia,1/6,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-67m2-balkon-bezposrednio-ID4qwi5
"Grochów, Praga-Południe, Warszawa, mazowieckie",600 000 zł,48 m²,pełna własność,3,,parter,,,,miejskie,,wtórny,prywatny,,,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","domofon / wideofon, rolety antywłamaniowe",,"piwnica, oddzielna kuchnia",,https://www.otodom.pl/pl/oferta/3-pokoje-48m2-swietna-lokalizacja-blisko-centrum-ID4r3Zx
"ul. Legnicka, Skorosze, Ursus, Warszawa, mazowieckie",Zapytaj o cenę,"60,72 m²",pełna własność,3,do wykończenia,1/3,balkon,,garaż/miejsce parkingowe,inne,,pierwotny,deweloper,2026-03-30,2026,apartamentowiec,plastikowe,tak,"internet, telewizja kablowa, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, teren zamknięty",,,,https://www.otodom.pl/pl/oferta/osiedle-legnicka-mieszkanie-3-pok-c-m56-ID4nLuG
"ul. Heroldów, Młociny, Bielany, Warszawa, mazowieckie",1 829 900 zł,"118,1 m²",pełna własność,4,do zamieszkania,3/3,balkon,1 800 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2000,blok,,tak,,,,piwnica,cegła,https://www.otodom.pl/pl/oferta/apartament-w-stylu-francuskim-118m2-loggia-12m2-ID4ro7M
"Roengena 46, Stary Imielin, Ursynów, Warszawa, mazowieckie",910 000 zł,"58,1 m²",spółdzielcze wł. prawo do lokalu,3,do zamieszkania,2/3,balkon,750 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,1998,blok,plastikowe,nie,"telewizja kablowa, internet",domofon / wideofon,"zmywarka, lodówka, piekarnik, kuchenka, pralka",,cegła,https://www.otodom.pl/pl/oferta/3-pokoje-10min-do-metra-stoklosy-0-prowizji-ID4ro7y
"ul. Sokratesa, Wawrzyszew, Bielany, Warszawa, mazowieckie",1 038 000 zł,"64,4 m²",pełna własność,3,do wykończenia,parter/8,ogródek,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-64m2-2-ogrodki-ID4pb7x
"ul. Herbu Oksza, Szamoty, Ursus, Warszawa, mazowieckie",Zapytaj o cenę,"74,59 m²",pełna własność,4,do wykończenia,5/7,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-74m2-balkon-bez-prowizji-ID4nMIY
"Grodzisk, Białołęka, Warszawa, mazowieckie",850 000 zł,"51,3 m²",pełna własność,3,do zamieszkania,3/3,balkon,750 zł,garaż/miejsce parkingowe,kotłownia,A+,wtórny,prywatny,,2021,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","klimatyzacja, piwnica",beton,https://www.otodom.pl/pl/oferta/m-3-warto-ID4ro6t
"al. Aleja Jana Pawła II, Nowolipki, Wola, Warszawa, mazowieckie",999 000 zł,"47,69 m²",pełna własność,3,do zamieszkania,1/9,balkon,770 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-06-23,1970,blok,plastikowe,tak,"telefon, internet, telewizja kablowa","drzwi / okna antywłamaniowe, domofon / wideofon","piekarnik, lodówka, pralka, zmywarka",piwnica,,https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-po-generalnym-remoncie-ID4ro6w
"Optyków 3b, Gocław, Praga-Południe, Warszawa, mazowieckie",1 050 000 zł,"46,7 m²",pełna własność,3,do zamieszkania,1/7,balkon,500 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2022,apartamentowiec,plastikowe,tak,"telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, piekarnik, kuchenka, pralka",piwnica,cegła,https://www.otodom.pl/pl/oferta/3-pokoje-na-nowoczesnym-osiedlu-goclaw-ID4qvHj
"ul. Mistrzowska, Chomiczówka, Bielany, Warszawa, mazowieckie",1 230 000 zł,"50,24 m²",pełna własność,2,do zamieszkania,1/4,balkon,450 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2017,apartamentowiec,plastikowe,tak,"telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, piekarnik, kuchenka, pralka",piwnica,cegła,https://www.otodom.pl/pl/oferta/wygodne-dwa-pokoje-na-bielanach-ID4rdbn
"ul. Wojciecha Bogusławskiego, Chomiczówka, Bielany, Warszawa, mazowieckie",975 000 zł,65 m²,,3,do zamieszkania,7/10,balkon,1 000 zł,,miejskie,,wtórny,biuro nieruchomości,,1976,blok,plastikowe,tak,,domofon / wideofon,meble,piwnica,wielka płyta,https://www.otodom.pl/pl/oferta/funkcjonalne-3-pokoje-z-oddzielna-kuchnia-ID4ro5P
"ul. Międzynarodowa, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",899 000 zł,"55,16 m²",pełna własność,2,do remontu,2/4,balkon,820 zł,,miejskie,,wtórny,biuro nieruchomości,2024-04-19,1958,blok,,nie,"telewizja kablowa, internet, telefon",,,"piwnica, oddzielna kuchnia",cegła,https://www.otodom.pl/pl/oferta/2-pok-mieszkanie-w-budynku-z-lat-50-saska-kepa-ID4ro5w
"ul. Adama Mickiewicza, Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",1 500 000 zł,60 m²,pełna własność,2,do zamieszkania,2/3,balkon,1 000 zł,,miejskie,,wtórny,biuro nieruchomości,,1931,kamienica,plastikowe,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica, oddzielna kuchnia",cegła,https://www.otodom.pl/pl/oferta/2-pok-stary-zoliborz-metro-pl-wilsona-ID4reSB
"Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",830 000 zł,60 m²,spółdzielcze wł. prawo do lokalu,3,do zamieszkania,parter/8,balkon,,,miejskie,,wtórny,prywatny,,,blok,plastikowe,tak,,domofon / wideofon,"lodówka, meble, piekarnik, kuchenka","piwnica, oddzielna kuchnia",,https://www.otodom.pl/pl/oferta/idealne-mieszkanie-3-pokoje-na-goclawiu-z-loggia-ID4ro53
"ul. Adama Branickiego, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",1 270 000 zł,61 m²,pełna własność,2,do zamieszkania,3/4,balkon,,garaż/miejsce parkingowe,,,wtórny,biuro nieruchomości,,,,plastikowe,nie,,,,,,https://www.otodom.pl/pl/oferta/ponadczasowy-wysoki-standard-2-pokoje-wilanow-ID4ro47
"ul. Graniczna, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",590 000 zł,"26,7 m²",spółdzielcze wł. prawo do lokalu,2,,8/15,,435 zł,,miejskie,W trakcie realizacji / Zwolnione,wtórny,biuro nieruchomości,,1972,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka",oddzielna kuchnia,,https://www.otodom.pl/pl/oferta/studio-2-pok-metro-swietokrzyska-i-rondo-onz-ID4r7k2
"Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",777 700 zł,33 m²,pełna własność,2,do zamieszkania,1/6,,500 zł,,miejskie,A,wtórny,prywatny,,1955,kamienica,plastikowe,tak,"telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka",piwnica,cegła,https://www.otodom.pl/pl/oferta/kamienicawysoki-standardcichegotowe-ID4ro3M
"Skorosze, Ursus, Warszawa, mazowieckie",1 210 000 zł,"86,9 m²",pełna własność,4,do zamieszkania,5/7,balkon,600 zł,garaż/miejsce parkingowe,gazowe,,wtórny,biuro nieruchomości,2024-07-01,2012,apartamentowiec,plastikowe,tak,,"monitoring / ochrona, domofon / wideofon","meble, lodówka, piekarnik, zmywarka, kuchenka",,pustak,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-dla-rodziny-niski-czynsz-ID4rbJD
"Royal Residence, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",620 000 zł,"28,5 m²",pełna własność,1,do wykończenia,parter/4,ogródek,600 zł,garaż/miejsce parkingowe,miejskie,,pierwotny,prywatny,,2023,blok,drewniane,nie,,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe",,,,https://www.otodom.pl/pl/oferta/hit-2-pokoje-z-ogrodem-miasteczko-wilanow-garaz-ID4nMKa
"ul. Jana Blatona 6, Bemowo-Lotnisko, Bemowo, Warszawa, mazowieckie",820 000 zł,"64,3 m²",spółdzielcze wł. prawo do lokalu,3,do zamieszkania,> 10/11,balkon,790 zł,garaż/miejsce parkingowe,miejskie,,wtórny,prywatny,,1991,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon","zmywarka, lodówka, meble, kuchenka, telewizor, pralka","piwnica, oddzielna kuchnia",wielka płyta,https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-bemowo-64-m2-bez-posrednikow-ID4qq1Z
"ul. Skarbka z Gór 47, Grodzisk, Białołęka, Warszawa, mazowieckie",Zapytaj o cenę,"75,04 m²",pełna własność,4,do wykończenia,parter/2,ogródek,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-75m2-ogrodek-bezposrednio-ID4r1EM
"ul. Hajduczka, Brzeziny, Białołęka, Warszawa, mazowieckie",Zapytaj o cenę,"29,49 m²",pełna własność,1,do wykończenia,1/3,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-ID4rl6y
"ul. Chełmżyńska, Kawęczyn-Wygoda, Rembertów, Warszawa, mazowieckie",435 827 zł,"27,07 m²",pełna własność,1,do wykończenia,4/5,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-ID4oasW
"ul. Herbu Oksza, Szamoty, Ursus, Warszawa, mazowieckie",Zapytaj o cenę,"80,03 m²",pełna własność,4,do wykończenia,3/7,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-80m2-balkon-bez-prowizji-ID4nMJ8
"ul. Ciasna, Nowe Miasto, Śródmieście, Warszawa, mazowieckie",1 100 000 zł,48 m²,pełna własność,2,do zamieszkania,parter/4,,800 zł,,miejskie,,wtórny,biuro nieruchomości,,1956,blok,,nie,,"system alarmowy, domofon / wideofon","meble, lodówka, piekarnik, zmywarka",piwnica,cegła,https://www.otodom.pl/pl/oferta/2-pokoje-garderoba-pralnia-ID4qKga
